gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
FZD2	1693.1349737738776	-1.4322721643333065	0.09487453910555162	1.2904714664254184e-53	2.7848374245460527e-49
MIB2	477.3699784108187	-1.3474729131085343	0.08914977676706971	1.3893796867728058e-53	2.998281364055715e-49
ENSG00000286037	52.58549516023022	5.2943948299149834	0.34845319576505934	1.4830375780890633e-53	3.2003950935161988e-49
BTNL12P	260.28738411151807	1.6169873806645247	0.10802786169740848	4.512870205063933e-53	9.738773902527968e-49
GRINA	1819.8491341333006	-1.0050595546777419	0.0666482999663565	6.140838048948785e-53	1.3251928509631478e-48
FAAP100	952.2881502281047	-1.0636999053068206	0.07059242948047686	6.361518634107404e-53	1.3728157212403778e-48
NAPRT	484.5132326557603	-1.407266605529426	0.09414900197089976	1.3625043359647622e-52	2.940284357011957e-48
RTN4R	499.0407035758237	-2.0552057097920353	0.13751734043734923	1.4843913354134157e-52	3.203316501822151e-48
SBF1	2088.7381422348562	-1.1611143903802335	0.07764007466441915	2.794217069462193e-52	6.029920435899412e-48
HES6	486.91155174190874	-1.9244266928721319	0.12960288892855465	3.294718480635041e-52	7.110002481210418e-48
ENSG00000268015	57.050670873970894	6.348384811175455	0.4258290118813497	4.549949278664016e-52	9.818790543356946e-48
UQCR11	185.07335951128601	-2.0649690305341633	0.1388419761203772	4.6299593923453574e-52	9.991452368681282e-48
AGTRAP	1186.5756335387755	-1.028425413358452	0.06894826277578849	6.851960840905952e-52	1.4786531494675046e-47
UTRN	2925.663680621251	1.0171425623436015	0.06825813734864135	8.758675153957968e-52	1.8901220982241294e-47
PKD1	436.52276120025005	-1.6733103268971776	0.11351747679306476	1.2000888407993539e-51	2.5897917184450056e-47
MXD3	225.1161648012721	1.7867970064586067	0.12167866006813352	2.6553012122327548e-51	5.730140015998284e-47
RBCK1	912.054336132647	-1.0438625310408955	0.07063584206126453	5.1507674294000425e-51	1.1115356112645291e-46
SIGIRR	566.8736033221049	-1.1477132469318938	0.07794494598604491	8.940143431762015e-51	1.929282952574243e-46
GPR137	460.71852114626097	-1.2298268166395718	0.08418950862275607	4.0182595064871315e-50	8.67140401499923e-46
NDUFAF8	614.122923991352	-1.3247637331513378	0.09094679899733038	5.35798416987197e-50	1.1562529838583713e-45
RCC2-AS1	52.52633608469111	3.875641288478524	0.2629198408057244	5.455367590095235e-50	1.1772683259425517e-45
SCAND1	1000.3486864622492	-1.6440677538544821	0.11356851199176812	6.126410111533275e-50	1.3220793020688807e-45
ENSG00000267469	48.63455323718405	4.920636971759764	0.3357832253914992	6.9020434835118365e-50	1.4894609837418543e-45
LRTOMT	108.39855849074185	2.88017091792311	0.1959117152462005	1.5324966197637982e-49	3.307127705450277e-45
PGP	933.0762477222484	-1.143337748884818	0.07947969645234697	1.2885296230993984e-48	2.7806469266485016e-44
MEX3D	1918.1514641534773	-1.2096343934293003	0.08416919775777999	1.3267173364682457e-48	2.8630560120984744e-44
ESRRA	704.2669317157914	-1.0359803496242965	0.0720606075224682	1.8783146111921776e-48	4.053402930952719e-44
